iter	Passed	Remaining
0	4	4059
1	6	3250
2	10	3554
3	13	3380
4	16	3267
5	19	3197
6	22	3140
7	25	3126
8	27	3001
9	29	2882
10	31	2791
11	32	2712
12	34	2606
13	35	2510
14	36	2422
15	38	2360
16	39	2290
17	40	2223
18	41	2162
19	42	2105
20	44	2052
21	45	2004
22	46	1963
23	47	1931
24	48	1893
25	49	1851
26	50	1811
27	51	1775
28	51	1740
29	52	1709
30	53	1680
31	54	1643
32	54	1610
33	55	1578
34	56	1548
35	56	1520
36	57	1492
37	57	1466
38	58	1442
39	59	1419
40	59	1401
41	60	1383
42	61	1364
43	62	1349
44	62	1331
45	63	1315
46	64	1299
47	64	1281
48	65	1265
49	65	1250
50	66	1235
51	67	1222
52	67	1210
53	68	1198
54	69	1185
55	69	1172
56	70	1161
57	70	1149
58	71	1138
59	72	1128
60	72	1117
61	73	1107
62	73	1097
63	74	1089
64	75	1082
65	76	1086
66	77	1078
67	78	1070
68	78	1061
69	79	1053
70	79	1044
71	80	1036
72	80	1028
73	81	1020
74	82	1015
75	83	1009
76	83	1002
77	84	995
78	84	988
79	85	982
80	85	975
81	86	969
82	86	959
83	87	953
84	88	947
85	88	941
86	89	936
87	89	932
88	90	927
89	91	921
90	91	916
91	92	912
92	93	907
93	93	902
94	94	897
95	94	892
96	95	887
97	95	882
98	96	878
99	97	874
100	97	871
101	98	867
102	99	863
103	99	859
104	100	855
105	100	851
106	101	846
107	102	842
108	102	838
109	103	834
110	103	831
111	104	828
112	105	826
113	106	824
114	106	821
115	107	818
116	107	814
117	108	811
118	109	808
119	109	805
120	110	802
121	110	798
122	111	796
123	112	794
124	113	792
125	113	788
126	114	785
127	114	782
128	115	779
129	116	776
130	116	773
131	117	770
132	117	767
133	118	765
134	119	762
135	119	760
136	120	757
137	121	756
138	121	753
139	122	750
140	122	748
141	123	744
142	123	742
143	124	739
144	125	737
145	125	734
146	126	732
147	126	730
148	127	728
149	128	726
150	128	724
151	129	722
152	130	720
153	130	718
154	131	715
155	131	713
156	132	711
157	133	709
158	134	708
159	134	707
160	135	705
161	136	705
162	137	704
163	137	702
164	138	699
165	138	697
166	139	695
167	140	693
168	140	691
169	141	690
170	142	689
171	143	689
172	143	688
173	144	685
174	145	684
175	145	682
176	146	680
177	146	678
178	147	676
179	148	674
180	148	673
181	149	671
182	150	671
183	151	670
184	151	668
185	152	666
186	152	664
187	153	662
188	154	661
189	154	659
190	155	657
191	155	655
192	156	655
193	157	654
194	158	653
195	158	652
196	159	650
197	160	648
198	160	647
199	161	645
200	162	644
201	162	642
202	163	640
203	163	639
204	164	639
205	165	639
206	166	638
207	167	637
208	168	635
209	168	634
210	169	632
211	169	630
212	170	629
213	171	628
214	171	627
215	172	626
216	173	625
217	173	623
218	174	622
219	175	620
220	175	619
221	176	618
222	176	616
223	177	615
224	178	614
225	179	613
226	179	612
227	180	611
228	181	609
229	181	608
230	182	606
231	182	605
232	183	603
233	183	602
234	184	600
235	185	599
236	186	599
237	186	598
238	187	597
239	188	595
240	188	594
241	189	593
242	189	591
243	190	590
244	191	588
245	191	587
246	192	586
247	192	585
248	193	584
249	194	583
250	195	582
251	195	580
252	196	579
253	196	578
254	197	576
255	197	575
256	198	574
257	199	573
258	199	571
259	200	570
260	201	570
261	202	569
262	202	567
263	203	566
264	203	565
265	204	564
266	204	562
267	205	561
268	206	560
269	206	558
270	207	557
271	208	557
272	209	556
273	209	555
274	210	554
275	210	553
276	211	552
277	212	551
278	212	550
279	213	549
280	214	548
281	215	547
282	215	546
283	216	545
284	217	544
285	217	543
286	218	542
287	218	541
288	219	540
289	220	538
290	220	537
291	221	536
292	222	536
293	222	535
294	223	534
295	224	533
296	225	532
297	225	531
298	226	530
299	226	529
300	227	528
301	228	527
302	228	525
303	229	524
304	229	523
305	230	523
306	231	522
307	231	521
308	232	520
309	233	519
310	233	518
311	234	517
312	235	516
313	235	514
314	236	513
315	236	512
316	237	512
317	238	511
318	239	511
319	240	510
320	240	509
321	241	508
322	242	507
323	242	506
324	243	505
325	244	504
326	244	504
327	245	503
328	246	502
329	247	501
330	247	500
331	248	499
332	249	498
333	249	497
334	250	496
335	250	495
336	251	494
337	252	493
338	253	493
339	253	492
340	254	491
341	255	491
342	256	490
343	256	489
344	257	488
345	258	487
346	258	486
347	259	486
348	260	485
349	261	484
350	261	484
351	262	483
352	263	482
353	263	481
354	264	480
355	265	479
356	265	478
357	266	477
358	267	476
359	268	476
360	269	476
361	269	475
362	270	474
363	271	474
364	272	473
365	272	472
366	273	471
367	274	470
368	275	470
369	276	470
370	277	469
371	277	469
372	278	468
373	279	467
374	279	466
375	280	465
376	281	464
377	282	464
378	282	463
379	283	463
380	284	462
381	285	461
382	285	460
383	286	459
384	287	458
385	288	459
386	289	458
387	291	459
388	292	458
389	292	458
390	293	457
391	294	456
392	294	455
393	295	454
394	296	453
395	297	453
396	298	452
397	298	452
398	299	451
399	300	450
400	301	449
401	301	448
402	302	447
403	303	447
404	304	447
405	305	446
406	305	445
407	306	444
408	307	443
409	307	442
410	308	441
411	308	440
412	309	439
413	310	439
414	310	438
415	311	437
416	312	437
417	313	436
418	314	435
419	314	434
420	315	433
421	316	432
422	316	431
423	317	430
424	317	430
425	318	429
426	319	429
427	320	428
428	321	427
429	321	426
430	322	425
431	322	424
432	323	423
433	324	422
434	324	421
435	325	420
436	326	420
437	326	419
438	327	418
439	328	418
440	329	417
441	329	416
442	330	415
443	331	414
444	331	413
445	332	412
446	333	412
447	334	412
448	335	411
449	335	410
450	336	409
451	337	408
452	337	408
453	338	407
454	339	406
455	339	405
456	340	404
457	341	404
458	342	403
459	343	402
460	343	402
461	344	401
462	345	400
463	345	399
464	346	398
465	347	397
466	348	397
467	348	396
468	349	395
469	350	394
470	350	394
471	351	393
472	352	392
473	352	391
474	353	390
475	353	389
476	354	388
477	355	387
478	356	387
479	356	386
480	357	385
481	358	385
482	359	384
483	359	383
484	360	382
485	361	382
486	362	382
487	363	381
488	364	380
489	364	379
490	365	378
491	366	377
492	366	377
493	367	376
494	367	375
495	368	374
496	369	373
497	370	373
498	370	372
499	371	371
500	372	371
501	373	370
502	373	369
503	374	368
504	375	367
505	375	366
506	376	365
507	377	365
508	378	364
509	378	363
510	379	363
511	380	362
512	380	361
513	381	360
514	382	359
515	382	358
516	383	358
517	384	357
518	385	356
519	385	356
520	386	355
521	386	354
522	387	353
523	388	352
524	388	351
525	389	350
526	389	350
527	390	349
528	391	348
529	392	347
530	392	346
531	393	346
532	393	345
533	394	344
534	395	343
535	395	342
536	396	341
537	397	340
538	397	340
539	398	339
540	399	338
541	400	338
542	401	337
543	401	336
544	402	335
545	402	334
546	403	334
547	403	333
548	404	332
549	405	331
550	406	330
551	406	330
552	407	329
553	407	328
554	408	327
555	409	326
556	409	325
557	410	325
558	410	324
559	411	323
560	412	322
561	413	321
562	413	321
563	414	320
564	415	319
565	415	318
566	416	318
567	417	317
568	417	316
569	418	315
570	418	314
571	419	314
572	420	313
573	421	312
574	421	311
575	422	310
576	423	310
577	423	309
578	424	308
579	424	307
580	425	306
581	426	306
582	426	305
583	427	304
584	428	303
585	429	303
586	429	302
587	430	301
588	431	300
589	431	300
590	432	299
591	433	298
592	433	297
593	434	296
594	435	296
595	435	295
596	436	294
597	437	293
598	437	293
599	438	292
600	439	291
601	439	290
602	440	289
603	441	289
604	441	288
605	442	287
606	443	286
607	444	286
608	444	285
609	445	284
610	446	283
611	446	283
612	447	282
613	447	281
614	448	280
615	449	279
616	449	279
617	450	278
618	451	277
619	452	277
620	452	276
621	453	275
622	453	274
623	454	273
624	455	273
625	455	272
626	456	271
627	457	271
628	458	270
629	459	269
630	460	269
631	460	268
632	461	267
633	461	266
634	462	265
635	463	265
636	463	264
637	464	263
638	465	263
639	466	262
640	467	261
641	467	260
642	468	260
643	468	259
644	469	258
645	470	257
646	470	256
647	471	256
648	472	255
649	473	254
650	473	253
651	474	253
652	474	252
653	475	251
654	476	250
655	476	250
656	477	249
657	478	248
658	479	248
659	480	247
660	480	246
661	481	245
662	482	245
663	483	244
664	483	243
665	484	242
666	485	242
667	485	241
668	486	240
669	487	240
670	488	239
671	488	238
672	489	237
673	490	237
674	490	236
675	491	235
676	491	234
677	492	234
678	493	233
679	494	232
680	494	231
681	495	231
682	496	230
683	496	229
684	497	228
685	497	227
686	498	227
687	498	226
688	499	225
689	500	224
690	501	224
691	501	223
692	502	222
693	502	221
694	503	220
695	504	220
696	504	219
697	505	218
698	505	217
699	506	217
700	507	216
701	507	215
